               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.037841,            0.056658,          0.00043917,             0.93539,             0.89431,             0.94122,             0.60482,            0.036896,             0.05503,           0.0014501,           0.0068815,           0.0068815,           0.0068815
                  65,            0.037419,             0.05535,          0.00034939,             0.93727,             0.89609,             0.94116,             0.60519,            0.036849,            0.054774,           0.0013499,            0.006832,            0.006832,            0.006832
                  66,            0.037641,            0.056003,          0.00046376,             0.94337,             0.89025,              0.9436,             0.60758,            0.036744,            0.054736,            0.001429,           0.0067825,           0.0067825,           0.0067825
                  67,            0.037261,            0.054967,          0.00037795,             0.93817,             0.89257,              0.9431,             0.60785,             0.03673,            0.054704,            0.001131,            0.006733,            0.006733,            0.006733
                  68,             0.03757,            0.056725,           0.0003947,               0.938,             0.89801,             0.94274,             0.60973,            0.036754,            0.054652,           0.0012805,           0.0066835,           0.0066835,           0.0066835
                  69,            0.037445,            0.055334,          0.00036671,             0.93842,              0.8925,             0.94029,             0.60635,            0.036659,            0.054858,           0.0014653,            0.006634,            0.006634,            0.006634
                  70,            0.037236,            0.055476,          0.00039864,             0.94185,             0.89761,             0.94365,             0.60936,            0.036718,            0.054658,           0.0012126,           0.0065845,           0.0065845,           0.0065845
                  71,             0.03737,            0.055451,          0.00036793,             0.93327,             0.89852,             0.94311,             0.60826,            0.036605,             0.05442,           0.0015307,            0.006535,            0.006535,            0.006535
                  72,            0.037149,             0.05507,          0.00043299,             0.93974,             0.89776,              0.9439,             0.60851,            0.036727,            0.054525,           0.0012011,           0.0064855,           0.0064855,           0.0064855
                  73,            0.037457,            0.055788,          0.00041737,             0.93916,             0.89228,              0.9425,             0.60935,            0.036639,            0.054447,           0.0013524,            0.006436,            0.006436,            0.006436
                  74,            0.036873,            0.054757,          0.00041758,             0.94025,             0.89472,             0.94129,              0.6087,             0.03672,            0.054883,           0.0014921,           0.0063865,           0.0063865,           0.0063865
                  75,            0.037321,            0.055491,          0.00039249,             0.93641,             0.89539,             0.94245,             0.60933,            0.036688,            0.054858,           0.0013331,            0.006337,            0.006337,            0.006337
                  76,            0.037187,            0.054706,          0.00036985,             0.93755,             0.89162,             0.94336,             0.60974,            0.036602,            0.054702,           0.0013647,           0.0062875,           0.0062875,           0.0062875
                  77,             0.03712,            0.055634,          0.00037453,             0.94223,             0.89046,             0.94323,             0.61243,            0.036595,            0.054647,           0.0013545,            0.006238,            0.006238,            0.006238
                  78,             0.03698,            0.055452,          0.00034694,             0.94234,             0.89532,             0.94215,             0.60747,            0.036775,            0.054889,           0.0014273,           0.0061885,           0.0061885,           0.0061885
                  79,            0.037142,            0.055182,          0.00039571,             0.93526,             0.90054,             0.94437,             0.60981,            0.036585,            0.054561,           0.0011911,            0.006139,            0.006139,            0.006139
                  80,            0.037103,            0.055502,          0.00041573,             0.94032,             0.89099,             0.94316,             0.61108,            0.036606,             0.05478,           0.0011544,           0.0060895,           0.0060895,           0.0060895
                  81,            0.036956,               0.056,          0.00036879,              0.9335,             0.90493,             0.94628,             0.61366,            0.036629,            0.054639,           0.0012035,             0.00604,             0.00604,             0.00604
                  82,            0.036917,             0.05482,          0.00038456,              0.9339,             0.90281,             0.94581,             0.61382,            0.036623,            0.054523,           0.0014104,           0.0059905,           0.0059905,           0.0059905
                  83,            0.036931,            0.055393,          0.00036294,             0.94273,             0.89562,             0.94576,             0.61342,            0.036662,            0.054917,            0.001229,            0.005941,            0.005941,            0.005941
                  84,            0.036674,            0.054458,          0.00038888,             0.94205,             0.89898,             0.94612,             0.61421,            0.036625,            0.054793,           0.0012919,           0.0058915,           0.0058915,           0.0058915
                  85,            0.036639,             0.05396,          0.00036439,             0.93585,             0.90056,              0.9488,             0.61453,             0.03665,            0.054709,           0.0012401,            0.005842,            0.005842,            0.005842
                  86,            0.036923,            0.056192,          0.00031393,             0.93281,             0.90454,             0.94767,             0.61308,            0.036742,              0.0549,           0.0012418,           0.0057925,           0.0057925,           0.0057925
                  87,            0.036719,            0.054319,          0.00036918,             0.93371,             0.89983,             0.94644,             0.61246,            0.036693,              0.0547,           0.0012344,            0.005743,            0.005743,            0.005743
                  88,            0.036574,            0.054336,          0.00036376,              0.9369,             0.90049,              0.9461,             0.61221,            0.036615,            0.054718,           0.0014124,           0.0056935,           0.0056935,           0.0056935
                  89,             0.03636,             0.05417,          0.00035687,             0.93875,             0.89917,              0.9465,             0.61291,            0.036667,            0.054818,           0.0014622,            0.005644,            0.005644,            0.005644
                  90,            0.036339,              0.0537,           0.0003973,             0.93828,             0.89968,             0.94776,             0.61467,            0.036557,            0.054813,           0.0013214,           0.0055945,           0.0055945,           0.0055945
                  91,            0.036665,            0.054872,          0.00034375,             0.93869,             0.89862,             0.94497,             0.61349,            0.036608,            0.055004,            0.001421,            0.005545,            0.005545,            0.005545
                  92,            0.036799,            0.055266,           0.0003824,             0.93715,             0.89948,             0.94619,             0.61422,             0.03647,            0.054571,           0.0013653,           0.0054955,           0.0054955,           0.0054955
                  93,            0.036494,            0.054564,          0.00035486,             0.93963,             0.90011,             0.94608,             0.61641,            0.036591,            0.054758,           0.0012774,            0.005446,            0.005446,            0.005446
                  94,            0.036666,            0.054082,          0.00033979,              0.9381,             0.90218,             0.94728,             0.61744,            0.036526,              0.0547,           0.0011155,           0.0053965,           0.0053965,           0.0053965
                  95,            0.036325,            0.054611,           0.0003127,             0.93019,             0.90634,             0.94424,             0.61563,            0.036571,            0.054701,           0.0013009,            0.005347,            0.005347,            0.005347
