               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.022876,           0.0080715,           0.0010301,             0.90239,             0.63792,             0.69454,             0.50859,            0.024817,            0.009484,           0.0060177,            0.006436,            0.006436,            0.006436
                  74,            0.022686,           0.0083211,           0.0012589,             0.85699,             0.65579,             0.70589,             0.51693,            0.024715,           0.0096007,           0.0058373,           0.0063865,           0.0063865,           0.0063865
                  75,            0.023222,           0.0080008,           0.0010971,             0.84381,             0.65442,             0.69213,             0.50918,            0.024973,           0.0096183,            0.005721,            0.006337,            0.006337,            0.006337
                  76,            0.022629,           0.0082395,           0.0011068,             0.82362,             0.66416,             0.70459,             0.51763,            0.024571,           0.0088178,           0.0056244,           0.0062875,           0.0062875,           0.0062875
                  77,            0.023502,           0.0084035,           0.0010769,             0.85246,             0.66069,             0.70129,             0.51464,             0.02453,           0.0089804,           0.0061715,            0.006238,            0.006238,            0.006238
                  78,            0.022583,           0.0082747,          0.00086754,             0.85066,             0.66087,             0.70944,             0.51942,            0.024533,           0.0093233,           0.0060531,           0.0061885,           0.0061885,           0.0061885
                  79,             0.02182,           0.0078955,          0.00099713,             0.88407,             0.64517,             0.71081,              0.5216,            0.024489,           0.0097152,           0.0056377,            0.006139,            0.006139,            0.006139
                  80,            0.023338,           0.0080861,           0.0010096,             0.87301,             0.65877,             0.69625,             0.51309,            0.024384,           0.0093404,           0.0056254,           0.0060895,           0.0060895,           0.0060895
                  81,            0.022249,           0.0076386,            0.001109,              0.8357,             0.66535,             0.70293,             0.51672,            0.024381,           0.0094218,           0.0052714,             0.00604,             0.00604,             0.00604
                  82,            0.022429,           0.0082199,          0.00097892,             0.88793,              0.6618,               0.706,             0.51763,            0.024605,           0.0092621,           0.0055471,           0.0059905,           0.0059905,           0.0059905
                  83,             0.02235,           0.0079514,            0.001035,             0.82932,             0.67651,             0.70912,             0.52261,            0.024359,           0.0090394,           0.0060793,            0.005941,            0.005941,            0.005941
                  84,            0.021702,           0.0076818,          0.00096267,             0.88395,             0.64801,             0.71121,             0.52341,            0.024367,           0.0096231,           0.0063423,           0.0058915,           0.0058915,           0.0058915
                  85,            0.022352,           0.0079884,           0.0010326,             0.87564,             0.63151,             0.69153,             0.50995,            0.024562,             0.00916,           0.0066833,            0.005842,            0.005842,            0.005842
                  86,            0.022183,           0.0077736,           0.0008996,             0.83853,             0.65939,             0.68965,             0.51493,            0.024447,           0.0094125,           0.0056141,           0.0057925,           0.0057925,           0.0057925
